,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
218,male,group E,associate's degree,standard,1,82,74,73
219,female,group E,bachelor's degree,free/reduced,0,69,80,75
220,female,group B,high school,free/reduced,1,64,79,79
221,female,group B,master's degree,standard,0,63,81,77
222,female,group D,associate's degree,standard,0,53,70,63
223,female,group C,high school,standard,1,63,79,81
224,male,group A,high school,standard,1,81,77,76
225,male,group E,associate's degree,free/reduced,0,81,83,78
226,female,group A,associate's degree,standard,1,75,94,97
227,female,group E,associate's degree,standard,0,77,82,80
228,male,group D,high school,standard,0,68,58,64
229,female,group D,high school,standard,0,67,82,79
230,male,group C,associate's degree,free/reduced,1,55,73,73
231,female,group E,high school,standard,1,83,86,84
232,male,group E,bachelor's degree,standard,0,85,73,68
233,male,group C,some high school,free/reduced,0,36,32,25
234,male,group C,some high school,standard,0,51,42,42
235,female,group E,some college,standard,0,80,82,83
236,female,group C,associate's degree,free/reduced,1,46,65,71
237,male,group A,associate's degree,free/reduced,0,57,48,42
238,male,group D,some high school,free/reduced,0,67,72,69
239,female,group D,bachelor's degree,free/reduced,0,68,85,78
240,male,group C,high school,free/reduced,0,57,51,50
241,female,group C,high school,free/reduced,0,53,64,58
242,male,group C,high school,free/reduced,1,73,65,63
243,male,group E,high school,standard,1,84,79,73
244,male,group C,some high school,standard,1,58,49,52
245,female,group A,some high school,standard,0,84,85,84
246,male,group D,high school,free/reduced,1,76,79,81
247,male,group A,associate's degree,free/reduced,1,56,47,48
248,female,group E,some high school,standard,0,79,80,74
249,male,group C,associate's degree,standard,0,48,44,47
250,female,group D,some high school,free/reduced,0,61,84,76
251,female,group B,high school,standard,0,79,83,77
252,female,group B,high school,free/reduced,0,34,43,39
253,female,group C,high school,standard,1,79,84,85
254,female,group B,high school,standard,1,50,61,59
255,female,group D,high school,standard,0,68,83,83
256,female,group C,some high school,standard,0,59,69,67
257,male,group C,some college,standard,0,63,57,55
258,female,group D,some college,standard,1,94,87,100
259,male,group C,some college,free/reduced,0,56,61,59
260,male,group C,high school,standard,0,67,66,58
261,male,group E,master's degree,standard,0,85,79,72
262,male,group E,master's degree,free/reduced,0,83,79,70
263,female,group C,some college,standard,0,72,80,78
264,female,group C,some high school,free/reduced,0,51,54,57
265,female,group C,high school,standard,0,75,75,75
266,female,group B,bachelor's degree,standard,0,66,80,78
267,male,group D,master's degree,standard,0,90,89,88
268,male,group B,bachelor's degree,free/reduced,0,57,57,58
269,male,group C,associate's degree,free/reduced,0,85,86,76
270,male,group D,associate's degree,standard,0,88,74,80
271,male,group D,some high school,standard,1,70,77,78
272,female,group A,bachelor's degree,free/reduced,1,60,68,67
273,female,group D,associate's degree,standard,0,77,79,78
274,female,group E,associate's degree,standard,0,100,100,100
275,male,group B,some college,standard,0,86,81,84
276,male,group B,associate's degree,standard,0,64,67,62
277,male,group B,associate's degree,free/reduced,0,44,37,32
278,male,group C,high school,free/reduced,1,66,68,65
279,female,group A,high school,standard,0,49,59,49
280,male,group D,some college,standard,0,88,93,87
281,female,group C,some college,standard,1,70,80,75
282,male,group B,associate's degree,standard,0,66,49,50
283,male,group D,some college,standard,1,90,87,88
284,male,group D,high school,standard,0,60,59,56
285,female,group B,master's degree,standard,0,81,78,82
286,male,group D,master's degree,standard,0,89,80,76
287,male,group C,some college,standard,1,90,94,90
288,male,group D,some college,standard,0,72,64,63
289,female,group C,master's degree,free/reduced,0,47,52,51
290,female,group C,some high school,standard,0,54,68,57
291,male,group B,some college,standard,0,75,66,69
292,male,group B,bachelor's degree,standard,0,69,72,65
293,female,group B,associate's degree,standard,0,56,63,63
294,female,group B,some college,standard,0,76,87,84
295,male,group D,associate's degree,free/reduced,0,64,70,64
296,female,group A,associate's degree,standard,0,82,86,86
297,male,group C,some high school,standard,0,54,49,45
298,female,group A,high school,standard,1,83,94,94
299,female,group C,bachelor's degree,free/reduced,0,65,70,73
300,female,group E,associate's degree,free/reduced,0,86,95,93
301,female,group D,some high school,standard,0,69,78,71
302,female,group D,associate's degree,standard,0,86,92,89
303,male,group D,associate's degree,standard,1,93,81,82
304,female,group E,master's degree,standard,0,79,86,83
305,female,group A,associate's degree,free/reduced,0,68,81,77
306,female,group D,some high school,free/reduced,0,38,39,36
307,female,group B,master's degree,standard,0,59,61,58
308,male,group C,some college,free/reduced,1,46,59,59
309,female,group B,master's degree,standard,1,60,76,81
310,female,group D,associate's degree,standard,1,78,88,93
311,female,group D,some high school,free/reduced,0,45,67,64
312,female,group C,bachelor's degree,standard,0,42,65,58
313,male,group C,bachelor's degree,standard,0,100,90,84
314,male,group D,some high school,free/reduced,1,54,47,51
315,female,group C,associate's degree,standard,0,64,73,73
316,male,group C,high school,standard,1,59,63,61
317,male,group D,some college,standard,0,77,75,73
318,male,group D,master's degree,standard,1,84,73,79
319,female,group C,some college,free/reduced,0,35,42,45
320,female,group D,some college,standard,1,55,56,64
321,male,group C,associate's degree,free/reduced,1,46,53,53
322,male,group D,high school,free/reduced,0,63,65,56
323,female,group B,bachelor's degree,free/reduced,1,57,69,70
324,female,group B,bachelor's degree,standard,1,73,86,84
325,male,group C,some college,standard,1,91,81,86
326,male,group A,some high school,free/reduced,0,50,45,46
327,female,group C,some high school,standard,1,59,69,74
328,female,group C,some high school,standard,0,38,40,40
329,male,group E,some high school,free/reduced,1,62,63,61
330,male,group E,high school,standard,0,60,42,46
331,female,group B,some college,standard,1,85,98,100
332,male,group A,high school,standard,0,71,73,62
333,female,group B,some college,standard,1,51,66,63
334,male,group D,associate's degree,free/reduced,0,54,55,53
335,male,group C,bachelor's degree,free/reduced,0,47,50,51
336,female,group B,master's degree,standard,0,64,79,73
337,male,group D,bachelor's degree,free/reduced,0,80,71,80
338,female,group D,associate's degree,standard,1,66,72,77
339,male,group D,some high school,free/reduced,1,58,61,60
340,female,group C,associate's degree,free/reduced,0,61,76,73
341,female,group B,associate's degree,free/reduced,1,33,68,69
342,male,group C,some college,free/reduced,0,58,50,47
343,female,group D,some high school,standard,1,65,79,79
344,female,group E,master's degree,free/reduced,0,54,57,58
345,female,group C,high school,standard,1,51,55,64
346,female,group B,high school,standard,0,46,42,54
347,male,group E,high school,standard,1,62,54,55
348,male,group C,high school,free/reduced,0,50,57,44
349,male,group A,some high school,standard,1,76,66,65
350,female,group D,some high school,standard,0,48,52,55
351,female,group C,some high school,standard,0,44,63,56
352,female,group B,high school,standard,1,74,73,85
353,female,group B,some high school,standard,0,65,69,74
354,female,group B,associate's degree,standard,0,64,70,76
355,male,group D,master's degree,standard,1,84,85,84
356,female,group C,associate's degree,standard,0,42,56,49
357,male,group C,master's degree,free/reduced,0,63,57,60
358,female,group C,some high school,standard,0,56,62,62
359,female,group D,high school,standard,0,49,62,62
360,female,group D,associate's degree,standard,0,95,95,95
361,female,group C,bachelor's degree,standard,1,99,100,100
362,female,group C,high school,standard,1,93,88,94
363,male,group B,some high school,free/reduced,0,57,60,56
364,female,group A,bachelor's degree,standard,1,69,76,79
365,male,group C,some college,free/reduced,1,62,58,58
366,female,group C,some college,free/reduced,0,50,63,56
367,male,group C,some college,standard,1,80,76,67
368,female,group B,associate's degree,free/reduced,1,35,58,56
369,female,group C,some college,free/reduced,1,60,73,75
370,female,group E,some college,free/reduced,1,57,68,74
371,male,group B,master's degree,free/reduced,1,76,78,81
372,male,group C,some college,standard,0,90,87,83
373,male,group D,associate's degree,free/reduced,1,79,65,80
374,female,group B,associate's degree,standard,1,45,60,56
375,female,group C,some high school,free/reduced,1,64,73,78
376,male,group D,associate's degree,standard,0,64,64,59
377,male,group B,high school,standard,0,59,60,52
378,female,group B,some high school,standard,1,76,89,90
379,female,group D,some college,free/reduced,0,45,62,56
380,male,group D,some high school,free/reduced,0,61,64,61
381,female,group C,bachelor's degree,standard,0,61,64,69
382,male,group B,some college,free/reduced,0,64,69,59
383,male,group B,high school,standard,0,65,62,55
384,female,group E,some college,standard,0,77,77,75
385,male,group B,high school,standard,1,59,51,50
386,male,group D,high school,free/reduced,1,58,57,60
387,male,group C,some high school,standard,0,67,67,53
388,female,group D,bachelor's degree,free/reduced,1,78,92,94
389,female,group E,high school,standard,1,76,85,79
390,female,group C,associate's degree,standard,0,65,75,76
391,female,group D,some high school,free/reduced,0,57,68,60
392,female,group D,high school,free/reduced,0,55,61,63
393,female,group C,associate's degree,free/reduced,0,52,60,61
394,male,group C,associate's degree,standard,0,61,60,53
395,female,group D,high school,standard,0,49,61,63
396,male,group E,master's degree,standard,0,80,74,71
397,male,group C,bachelor's degree,free/reduced,1,64,62,61
398,male,group B,high school,standard,0,60,56,46
399,female,group E,bachelor's degree,free/reduced,0,54,66,67
400,female,group B,associate's degree,standard,0,75,79,79
401,female,group C,some college,standard,0,74,79,79
402,female,group C,bachelor's degree,free/reduced,1,63,78,80
403,male,group A,some college,standard,0,85,80,73
404,female,group D,bachelor's degree,standard,1,98,100,100
405,male,group D,bachelor's degree,standard,0,78,83,80
406,male,group D,bachelor's degree,standard,0,87,81,86
407,female,group C,high school,standard,0,50,63,59
408,female,group D,some college,standard,0,98,91,96
409,male,group D,high school,free/reduced,0,58,55,56
410,female,group B,some high school,standard,1,54,75,73
411,male,group C,high school,standard,1,63,70,70
412,male,group C,master's degree,standard,1,73,81,80
413,male,group C,master's degree,standard,0,59,51,51
414,female,group C,some college,standard,1,85,97,96
415,male,group D,associate's degree,standard,0,74,66,66
416,female,group C,some college,standard,1,81,83,89
417,female,group D,some college,standard,0,79,84,80
418,female,group D,bachelor's degree,standard,0,100,92,98
419,male,group C,associate's degree,standard,0,70,62,62
420,female,group C,bachelor's degree,standard,0,50,51,53
421,male,group E,high school,standard,0,70,52,57
422,male,group D,some college,standard,1,86,92,85
423,female,group C,some college,standard,1,70,85,87
424,male,group B,some college,standard,0,69,74,75
425,female,group B,associate's degree,standard,0,40,61,51
426,male,group B,high school,free/reduced,0,54,55,53
427,female,group D,some college,standard,1,84,94,99
428,male,group E,associate's degree,free/reduced,0,79,66,59
429,female,group C,some college,free/reduced,0,42,51,53
430,male,group C,some college,standard,0,72,66,61
431,male,group C,some college,free/reduced,1,73,71,76
432,male,group E,bachelor's degree,standard,0,100,90,84
433,female,group C,some college,standard,0,83,80,79
434,male,group C,some high school,standard,0,61,49,47
435,female,group D,some college,standard,1,69,80,85
436,female,group E,some college,standard,0,94,91,93
437,male,group D,master's degree,standard,1,95,94,99
438,female,group D,master's degree,standard,0,78,83,84
439,female,group D,some college,free/reduced,0,38,54,55
440,female,group B,some high school,standard,1,73,81,88
441,male,group D,some college,standard,0,80,64,67
442,female,group D,some high school,standard,1,67,72,74
443,female,group C,associate's degree,free/reduced,1,61,72,72
444,female,group E,some high school,standard,0,61,55,59
445,male,group A,bachelor's degree,standard,0,71,64,63
446,male,group C,some college,standard,0,46,52,50
447,female,group B,associate's degree,standard,1,68,62,68
448,male,group C,some high school,standard,1,53,47,41
449,female,group E,associate's degree,free/reduced,0,81,83,76
450,male,group D,some high school,standard,0,71,71,66
451,male,group C,some college,free/reduced,0,41,39,40
452,female,group D,some college,free/reduced,1,60,67,73
453,female,group C,high school,free/reduced,0,57,82,77
454,male,group B,some college,standard,0,45,43,41
455,female,group B,high school,standard,1,74,81,78
456,female,group E,some high school,standard,1,76,87,82
457,female,group C,some college,standard,1,57,65,67
458,female,group E,some high school,standard,0,87,87,80
459,male,group D,some college,standard,0,62,61,53
460,male,group C,associate's degree,standard,0,75,64,59
461,male,group D,some college,standard,0,67,65,68
462,female,group C,associate's degree,standard,0,81,88,85
463,male,group B,some college,free/reduced,1,79,88,88
464,female,group D,bachelor's degree,standard,0,64,69,76
465,male,group B,bachelor's degree,free/reduced,0,41,41,39
466,male,group B,some college,standard,0,70,56,57
467,female,group B,master's degree,free/reduced,1,68,78,83
468,female,group C,associate's degree,standard,1,63,74,73
469,female,group E,some college,standard,0,73,76,76
470,female,group C,high school,standard,0,38,50,49
471,female,group E,associate's degree,standard,1,85,91,90
472,female,group E,some high school,standard,1,97,99,100
473,male,group B,master's degree,standard,0,87,97,89
474,male,group D,high school,free/reduced,0,51,62,57
475,male,group A,high school,free/reduced,0,70,81,76
476,male,group D,high school,free/reduced,0,79,75,73
477,female,group B,high school,standard,0,67,78,70
478,male,group B,high school,standard,1,72,75,69
479,male,group D,high school,free/reduced,0,50,46,43
480,male,group A,associate's degree,standard,0,73,69,66
481,female,group D,associate's degree,standard,1,86,94,96
482,male,group C,associate's degree,free/reduced,1,81,81,74
483,female,group C,some college,standard,0,62,68,63
484,female,group D,some college,standard,0,67,71,72
485,male,group C,high school,free/reduced,1,41,52,43
486,male,group D,some college,free/reduced,1,31,26,21
487,male,group C,associate's degree,standard,0,87,81,82
488,female,group E,some college,standard,0,84,95,98
489,male,group C,some college,standard,0,76,70,65
490,male,group A,some high school,standard,0,75,75,68
491,female,group A,bachelor's degree,standard,1,47,48,58
492,female,group A,associate's degree,standard,0,45,56,53
493,male,group D,high school,standard,0,82,65,69
494,male,group D,high school,free/reduced,0,50,45,50
495,female,group A,bachelor's degree,standard,0,72,84,78
496,male,group E,some high school,standard,0,85,71,70
497,male,group D,some college,standard,1,64,55,65
498,female,group C,associate's degree,standard,0,77,85,85
499,male,group C,some high school,standard,0,64,64,61
500,male,group C,some college,free/reduced,0,52,52,48
501,female,group C,high school,standard,0,53,79,67
502,male,group D,some high school,standard,0,51,48,51
503,female,group C,some college,standard,0,75,85,83
504,female,group B,associate's degree,free/reduced,0,67,77,72
505,male,group E,some college,free/reduced,0,80,80,73
506,female,group E,high school,standard,0,56,56,51
507,male,group C,some college,standard,0,60,55,46
508,male,group B,bachelor's degree,standard,0,77,74,74
509,female,group E,some high school,standard,0,62,74,71
510,male,group C,some high school,standard,0,28,34,24
511,male,group D,associate's degree,free/reduced,0,64,67,58
512,female,group C,bachelor's degree,standard,1,87,100,100
513,female,group E,some high school,standard,1,80,89,88
514,male,group B,some high school,standard,0,77,77,71
515,male,group E,some college,standard,0,100,84,82
516,female,group E,associate's degree,standard,1,98,100,100
517,male,group B,associate's degree,free/reduced,0,65,59,57
518,male,group E,some high school,free/reduced,0,76,64,64
519,female,group D,some high school,free/reduced,0,47,46,59
520,male,group D,some high school,standard,1,72,72,70
521,male,group E,high school,free/reduced,0,76,69,63
522,female,group A,associate's degree,standard,1,56,67,72
523,female,group D,high school,standard,0,56,74,78
524,female,group B,bachelor's degree,standard,0,58,67,65
525,male,group C,master's degree,standard,0,75,71,69
526,female,group C,associate's degree,free/reduced,0,64,62,67
527,male,group E,associate's degree,standard,0,78,54,57
528,female,group C,bachelor's degree,free/reduced,0,67,69,71
529,female,group D,associate's degree,standard,0,56,56,63
530,female,group B,some high school,free/reduced,0,62,76,72
531,male,group E,some high school,standard,0,91,73,74
532,male,group B,high school,free/reduced,0,78,70,69
533,male,group C,bachelor's degree,standard,0,63,61,58
534,male,group D,master's degree,standard,0,100,89,92
535,female,group E,bachelor's degree,standard,0,83,85,89
536,female,group A,bachelor's degree,standard,0,64,62,65
537,female,group D,associate's degree,free/reduced,0,62,69,66
538,female,group C,associate's degree,standard,1,37,49,49
539,male,group A,master's degree,standard,0,61,65,61
540,female,group C,associate's degree,standard,0,64,66,71
541,male,group B,some high school,free/reduced,0,51,51,49
542,male,group C,some college,standard,0,76,72,62
543,male,group B,high school,standard,1,74,76,71
544,female,group C,high school,free/reduced,1,75,89,93
545,female,group C,bachelor's degree,standard,0,71,80,74
546,male,group A,high school,standard,1,69,67,66
547,male,group B,high school,standard,1,78,83,81
548,male,group A,associate's degree,free/reduced,1,58,56,53
549,female,group C,some college,standard,0,77,78,83
550,male,group B,some high school,free/reduced,1,81,84,79
551,female,group E,some high school,standard,1,81,91,100
552,female,group D,bachelor's degree,free/reduced,1,69,78,81
553,female,group C,high school,standard,0,73,88,87
554,male,group C,bachelor's degree,standard,0,90,94,91
555,female,group D,some high school,free/reduced,0,45,51,49
556,male,group C,some high school,standard,0,66,67,59
557,female,group B,bachelor's degree,free/reduced,0,34,40,45
558,male,group B,high school,standard,0,90,76,77
559,male,group D,associate's degree,standard,0,70,72,68
560,female,group B,bachelor's degree,free/reduced,0,34,50,53
561,female,group E,some college,standard,0,72,74,66
562,male,group B,master's degree,free/reduced,0,77,77,74
563,male,group D,master's degree,free/reduced,0,66,59,63
564,male,group A,high school,free/reduced,0,53,57,51
565,male,group E,bachelor's degree,free/reduced,0,71,64,64
566,female,group B,some college,standard,0,90,91,88
567,female,group C,some college,standard,1,64,88,82
568,female,group A,bachelor's degree,standard,1,59,78,79
569,male,group D,high school,standard,0,80,67,71
570,female,group B,high school,standard,0,58,60,66
571,male,group D,some college,standard,0,62,62,58
572,male,group D,associate's degree,standard,0,80,87,81
573,male,group B,high school,free/reduced,0,50,46,40
574,female,group C,associate's degree,standard,0,49,64,65
575,male,group D,some college,standard,0,77,67,72
576,female,group A,associate's degree,standard,1,56,58,59
577,male,group B,some high school,standard,1,79,84,79
578,male,group B,associate's degree,standard,0,61,55,58
579,female,group C,some college,standard,1,93,100,100
580,male,group D,some college,standard,0,61,61,57
581,female,group D,some college,standard,0,80,82,79
582,female,group C,some college,standard,0,46,56,59
583,female,group C,some high school,standard,1,51,67,64
584,male,group C,associate's degree,standard,1,99,88,97
585,female,group C,bachelor's degree,free/reduced,0,77,91,84
586,male,group D,bachelor's degree,standard,0,82,70,72
587,female,group B,some high school,free/reduced,0,41,56,55
588,male,group C,high school,standard,0,81,67,65
589,male,group B,some college,standard,0,56,51,51
590,female,group D,high school,standard,0,67,85,85
591,male,group B,bachelor's degree,standard,0,56,45,38
592,female,group D,some high school,standard,0,71,90,77
593,female,group C,some college,standard,0,58,66,70
594,female,group B,bachelor's degree,standard,1,78,87,90
595,male,group C,some college,standard,1,75,66,71
596,female,group C,bachelor's degree,standard,0,78,85,88
597,female,group E,associate's degree,standard,1,67,72,73
598,female,group D,high school,free/reduced,1,74,85,91
599,female,group D,high school,standard,0,67,85,83
600,male,group B,high school,standard,0,53,42,41
601,female,group B,some college,free/reduced,0,60,61,56
602,male,group D,associate's degree,standard,1,82,84,83
603,female,group B,some high school,free/reduced,1,60,67,76
604,female,group C,some college,standard,1,73,89,86
605,male,group D,some high school,standard,1,76,82,77
606,female,group D,associate's degree,standard,1,46,52,59
607,female,group C,some high school,standard,1,35,50,52
608,male,group C,some high school,standard,1,65,59,63
609,female,group D,bachelor's degree,standard,0,44,56,63
610,female,group D,associate's degree,standard,1,88,86,91
611,male,group D,some high school,standard,0,60,62,53
612,female,group C,some college,free/reduced,0,51,65,64
613,female,group B,some high school,free/reduced,0,50,58,55
614,male,group C,some high school,standard,0,67,62,54
615,female,group B,bachelor's degree,standard,1,71,78,87
616,female,group B,bachelor's degree,standard,1,83,93,95
617,male,group C,some high school,standard,0,61,56,54
618,male,group C,high school,free/reduced,0,50,49,41
619,female,group D,master's degree,free/reduced,0,53,69,60
620,female,group C,associate's degree,standard,1,65,71,70
621,male,group D,high school,standard,0,75,79,75
622,female,group A,some high school,standard,0,63,79,71
623,male,group C,high school,free/reduced,0,64,70,63
624,female,group C,some high school,standard,0,64,71,68
625,male,group C,associate's degree,standard,0,77,78,71
626,male,group C,associate's degree,free/reduced,0,77,67,62
627,female,group C,associate's degree,standard,0,44,54,49
628,male,group D,some college,free/reduced,1,70,64,67
629,female,group C,associate's degree,standard,1,78,84,83
630,male,group D,some college,standard,0,81,77,75
631,male,group B,bachelor's degree,free/reduced,0,61,59,67
632,male,group D,bachelor's degree,standard,0,76,58,58
633,male,group B,master's degree,free/reduced,0,64,63,52
634,female,group D,high school,standard,0,52,60,56
635,female,group D,high school,standard,0,48,52,55
636,male,group D,master's degree,standard,1,100,96,98
637,female,group D,associate's degree,free/reduced,0,56,61,58
638,male,group B,high school,free/reduced,0,51,46,45
639,male,group E,some college,standard,0,66,50,51
640,male,group B,some college,free/reduced,1,72,69,76
641,male,group B,some high school,free/reduced,0,38,32,32
642,female,group C,bachelor's degree,free/reduced,0,53,73,67
643,male,group C,bachelor's degree,standard,0,58,55,54
644,male,group B,bachelor's degree,free/reduced,1,33,31,34
645,male,group C,some college,free/reduced,0,64,64,60
646,female,group C,associate's degree,standard,1,67,82,82
647,male,group D,associate's degree,standard,1,71,65,65
648,male,group D,high school,standard,1,81,86,80
649,male,group D,some college,free/reduced,1,54,51,57
650,male,group D,high school,standard,0,91,94,88
651,male,group C,bachelor's degree,free/reduced,0,61,52,48
652,female,group C,bachelor's degree,standard,1,53,63,62
653,male,group E,some high school,standard,0,70,68,62
654,male,group D,some college,free/reduced,0,55,61,58
655,male,group C,high school,standard,1,74,56,63
656,female,group D,some college,standard,0,53,63,62
657,female,group D,some high school,free/reduced,0,60,64,72
658,male,group D,associate's degree,free/reduced,0,72,76,67
659,female,group D,some college,standard,0,56,63,65
660,male,group E,some college,standard,0,82,78,75
661,female,group C,high school,standard,1,66,84,88
662,male,group D,high school,standard,0,54,63,56
663,female,group E,associate's degree,standard,1,85,95,89
664,female,group E,bachelor's degree,free/reduced,0,58,61,58
665,male,group D,associate's degree,standard,1,100,100,100
666,male,group B,associate's degree,standard,1,69,76,63
667,male,group D,bachelor's degree,free/reduced,1,45,46,45
668,female,group D,some college,standard,1,70,70,79
669,male,group D,some high school,free/reduced,1,49,55,48
670,female,group C,associate's degree,standard,0,89,94,88
671,male,group C,some high school,free/reduced,0,52,55,49
672,female,group A,some high school,free/reduced,0,39,51,41
673,male,group A,bachelor's degree,free/reduced,0,67,72,66
674,male,group C,master's degree,standard,0,82,78,82
675,male,group A,some college,standard,0,87,76,72
676,female,group C,master's degree,standard,1,76,80,84
677,male,group E,some high school,free/reduced,1,70,67,67
678,female,group B,bachelor's degree,standard,0,58,71,70
679,female,group D,some college,free/reduced,0,47,48,59
680,male,group E,some high school,standard,0,73,66,63
681,female,group C,bachelor's degree,standard,0,84,86,88
682,female,group B,master's degree,standard,0,67,74,75
683,male,group A,bachelor's degree,standard,1,85,95,94
684,male,group C,some high school,free/reduced,0,55,55,51
685,male,group E,some college,standard,0,95,74,71
686,female,group C,associate's degree,free/reduced,0,53,72,77
687,female,group B,some high school,free/reduced,1,56,64,57
688,female,group D,some college,standard,1,60,77,75
689,male,group E,master's degree,standard,0,95,81,84
690,female,group C,bachelor's degree,standard,1,52,71,72
691,female,group C,some college,standard,1,78,89,88
692,male,group D,some college,standard,0,64,59,58
693,female,group E,high school,free/reduced,0,73,91,82
694,female,group E,master's degree,free/reduced,1,76,92,91
695,female,group B,some high school,free/reduced,1,45,67,65
696,male,group C,master's degree,standard,1,79,83,87
697,female,group C,some college,standard,1,91,100,100
698,female,group D,some high school,standard,1,96,100,100
699,female,group B,bachelor's degree,standard,0,67,70,76
700,female,group B,some high school,free/reduced,0,45,46,50
701,female,group B,some college,free/reduced,1,47,52,56
702,male,group C,some college,free/reduced,1,69,80,76
703,male,group E,high school,free/reduced,0,77,70,71
704,male,group E,high school,standard,1,84,76,80
705,male,group C,some high school,standard,0,40,46,43
706,female,group C,high school,free/reduced,0,60,75,70
707,male,group B,high school,standard,1,91,85,91
708,male,group C,bachelor's degree,standard,0,67,68,67
709,female,group C,associate's degree,standard,0,61,63,66
710,female,group E,some college,standard,0,70,77,72
711,male,group A,some high school,standard,1,67,63,64
712,male,group D,some college,standard,0,66,54,55
713,male,group D,some college,standard,0,70,61,56
714,female,group C,bachelor's degree,free/reduced,1,51,71,72
715,male,group E,bachelor's degree,free/reduced,1,46,49,53
716,female,group C,high school,standard,1,66,63,64
717,male,group C,associate's degree,standard,0,63,57,57
718,male,group C,master's degree,standard,1,76,75,77
719,male,group C,associate's degree,free/reduced,0,46,56,44
720,female,group C,associate's degree,standard,0,67,73,74
721,male,group A,associate's degree,free/reduced,0,43,39,35
722,female,group C,high school,standard,1,85,94,100
723,female,group C,bachelor's degree,standard,0,82,85,86
724,female,group C,some high school,standard,0,53,66,65
725,female,group B,some college,free/reduced,1,69,87,93
726,male,group C,some high school,free/reduced,0,42,43,38
727,male,group D,high school,standard,0,80,71,70
728,male,group D,associate's degree,free/reduced,0,39,32,35
729,female,group D,some high school,standard,0,57,73,69
730,female,group B,bachelor's degree,standard,0,55,57,56
731,female,group D,high school,standard,0,60,68,70
732,male,group C,some college,standard,1,88,83,79
733,male,group D,associate's degree,free/reduced,0,50,55,49
734,female,group B,some high school,free/reduced,0,67,78,70
735,female,group D,some high school,standard,0,60,65,68
736,female,group C,high school,standard,0,68,88,82
737,female,group B,some college,free/reduced,0,45,57,58
738,female,group B,some college,free/reduced,1,61,74,72
739,female,group E,some high school,standard,1,93,100,100
740,male,group A,some college,standard,0,69,70,69
741,female,group B,master's degree,standard,0,61,77,71
742,male,group D,high school,free/reduced,0,47,47,48
743,male,group C,some college,free/reduced,1,29,39,34
744,female,group B,associate's degree,standard,1,50,64,67
745,female,group D,some college,standard,1,75,75,88
746,female,group C,some college,free/reduced,0,27,39,34
747,female,group D,some college,free/reduced,1,80,96,100
748,male,group D,associate's degree,standard,0,56,64,63
749,female,group E,some high school,standard,0,64,64,58
750,female,group E,bachelor's degree,free/reduced,1,71,73,75
751,female,group A,some college,standard,0,74,85,79
752,female,group B,some high school,standard,1,86,96,97
753,male,group C,some high school,standard,1,83,79,83
754,female,group B,some college,standard,1,56,75,71
755,male,group E,high school,free/reduced,0,57,59,55
756,female,group D,master's degree,standard,0,91,93,91
757,female,group D,some high school,standard,0,53,62,61
758,female,group D,some college,standard,0,80,91,89
759,female,group B,high school,free/reduced,1,59,77,78
760,male,group B,master's degree,free/reduced,1,77,74,79
761,male,group D,bachelor's degree,standard,0,75,71,69
762,male,group D,high school,free/reduced,1,42,48,48
763,male,group C,some high school,standard,0,67,57,52
764,male,group D,some high school,standard,1,65,59,66
765,male,group D,high school,standard,1,69,77,79
766,female,group D,some college,free/reduced,0,52,63,60
767,female,group B,some high school,standard,0,71,66,68
768,female,group A,some college,standard,1,100,98,98
769,female,group D,some college,standard,1,63,83,87
770,female,group D,some high school,free/reduced,0,51,66,63
771,male,group E,some college,free/reduced,0,67,63,59
772,female,group B,associate's degree,standard,0,58,70,74
773,female,group A,some high school,standard,0,58,77,72
774,male,group D,associate's degree,standard,1,80,76,81
775,female,group C,high school,free/reduced,0,40,43,36
776,female,group C,bachelor's degree,standard,0,81,82,89
777,female,group C,some college,standard,0,67,85,81
778,female,group B,some college,free/reduced,0,56,64,69
779,female,group B,some college,standard,1,55,61,68
780,male,group C,high school,free/reduced,0,21,26,16
781,female,group D,high school,standard,0,51,61,58
782,male,group D,associate's degree,standard,0,75,70,70
783,male,group D,bachelor's degree,standard,1,84,84,88
784,female,group C,some college,standard,0,63,85,79
785,female,group D,some high school,standard,0,80,90,94
786,male,group B,bachelor's degree,standard,0,81,76,71
787,female,group C,bachelor's degree,standard,0,55,61,57
788,male,group B,bachelor's degree,free/reduced,0,60,62,56
789,male,group B,some college,free/reduced,0,69,70,66
790,male,group C,some college,free/reduced,0,48,46,43
791,male,group C,master's degree,standard,0,84,71,70
792,male,group C,associate's degree,standard,1,57,51,54
793,female,group B,high school,free/reduced,0,45,66,59
794,female,group D,some high school,free/reduced,0,39,48,45
795,male,group C,associate's degree,free/reduced,0,59,53,50
796,male,group D,high school,standard,0,66,60,68
797,female,group D,some high school,standard,0,65,80,74
798,female,group B,some high school,standard,1,72,78,81
799,female,group E,bachelor's degree,standard,1,48,44,52
800,male,group C,some college,free/reduced,0,62,66,58
801,female,group D,some high school,standard,0,77,78,81
802,female,group B,associate's degree,free/reduced,0,57,67,70
803,male,group B,high school,standard,0,52,46,41
804,male,group D,associate's degree,free/reduced,1,72,71,80
805,female,group E,some college,free/reduced,1,60,60,64
806,male,group B,bachelor's degree,standard,0,70,66,62
807,male,group C,some high school,free/reduced,0,43,43,38
808,female,group A,high school,free/reduced,0,51,66,63
